ticker,start,end,sentiment
ABNB,2012-01-01,2012-01-31,0.0
ABNB,2012-02-01,2012-02-31,0.0
ABNB,2012-03-01,2012-03-31,0.0
ABNB,2012-04-01,2012-04-31,0.0
ABNB,2012-05-01,2012-05-31,0.0
ABNB,2012-06-01,2012-06-31,0.0
ABNB,2012-07-01,2012-07-31,0.0
ABNB,2012-08-01,2012-08-31,0.0
ABNB,2012-09-01,2012-09-31,0.0
ABNB,2012-10-01,2012-10-31,0.0
ABNB,2012-11-01,2012-11-31,0.0
ABNB,2012-12-01,2012-12-31,0.0
ABNB,2013-01-01,2013-01-31,0.0
ABNB,2013-02-01,2013-02-31,0.0
ABNB,2013-03-01,2013-03-31,0.0
ABNB,2013-04-01,2013-04-31,0.0
ABNB,2013-05-01,2013-05-31,0.0
ABNB,2013-06-01,2013-06-31,0.0
ABNB,2013-07-01,2013-07-31,0.0
ABNB,2013-08-01,2013-08-31,0.0
ABNB,2013-09-01,2013-09-31,0.0
ABNB,2013-10-01,2013-10-31,0.0
ABNB,2013-11-01,2013-11-31,0.0
ABNB,2013-12-01,2013-12-31,0.0
ABNB,2014-01-01,2014-01-31,0.0
ABNB,2014-02-01,2014-02-31,0.0
ABNB,2014-03-01,2014-03-31,0.0
ABNB,2014-04-01,2014-04-31,0.0
ABNB,2014-05-01,2014-05-31,0.0
ABNB,2014-06-01,2014-06-31,0.0
ABNB,2014-07-01,2014-07-31,0.0
ABNB,2014-08-01,2014-08-31,0.0
ABNB,2014-09-01,2014-09-31,0.0
ABNB,2014-10-01,2014-10-31,0.0
ABNB,2014-11-01,2014-11-31,0.0
ABNB,2014-12-01,2014-12-31,0.0
ABNB,2015-01-01,2015-01-31,0.0
ABNB,2015-02-01,2015-02-31,0.0
ABNB,2015-03-01,2015-03-31,0.0
ABNB,2015-04-01,2015-04-31,0.0
ABNB,2015-05-01,2015-05-31,0.0
ABNB,2015-06-01,2015-06-31,0.0
ABNB,2015-07-01,2015-07-31,0.0
ABNB,2015-08-01,2015-08-31,0.0
ABNB,2015-09-01,2015-09-31,0.0
ABNB,2015-10-01,2015-10-31,0.0
ABNB,2015-11-01,2015-11-31,0.0
ABNB,2015-12-01,2015-12-31,0.0
ABNB,2016-01-01,2016-01-31,0.0
ABNB,2016-02-01,2016-02-31,0.0
ABNB,2016-03-01,2016-03-31,0.0
ABNB,2016-04-01,2016-04-31,0.0
ABNB,2016-05-01,2016-05-31,0.0
ABNB,2016-06-01,2016-06-31,0.0
ABNB,2016-07-01,2016-07-31,0.0
ABNB,2016-08-01,2016-08-31,0.0
ABNB,2016-09-01,2016-09-31,0.0
ABNB,2016-10-01,2016-10-31,0.0
ABNB,2016-11-01,2016-11-31,0.0
ABNB,2016-12-01,2016-12-31,0.0
ABNB,2017-01-01,2017-01-31,0.0
ABNB,2017-02-01,2017-02-31,0.0
ABNB,2017-03-01,2017-03-31,0.0
ABNB,2017-04-01,2017-04-31,0.0
ABNB,2017-05-01,2017-05-31,0.0
ABNB,2017-06-01,2017-06-31,0.0
ABNB,2017-07-01,2017-07-31,0.0
ABNB,2017-08-01,2017-08-31,0.0
ABNB,2017-09-01,2017-09-31,0.0
ABNB,2017-10-01,2017-10-31,0.0
ABNB,2017-11-01,2017-11-31,0.0
ABNB,2017-12-01,2017-12-31,0.0
ABNB,2018-01-01,2018-01-31,0.0
ABNB,2018-02-01,2018-02-31,0.0
ABNB,2018-03-01,2018-03-31,0.0
ABNB,2018-04-01,2018-04-31,0.0
ABNB,2018-05-01,2018-05-31,0.0
ABNB,2018-06-01,2018-06-31,0.0
ABNB,2018-07-01,2018-07-31,0.0
ABNB,2018-08-01,2018-08-31,0.0
ABNB,2018-09-01,2018-09-31,0.0
ABNB,2018-10-01,2018-10-31,0.0
ABNB,2018-11-01,2018-11-31,0.0
ABNB,2018-12-01,2018-12-31,0.0
ABNB,2019-01-01,2019-01-31,0.0
ABNB,2019-02-01,2019-02-31,0.0
ABNB,2019-03-01,2019-03-31,0.0
ABNB,2019-04-01,2019-04-31,0.0
ABNB,2019-05-01,2019-05-31,0.0
ABNB,2019-06-01,2019-06-31,0.0
ABNB,2019-07-01,2019-07-31,0.0
ABNB,2019-08-01,2019-08-31,0.0
ABNB,2019-09-01,2019-09-31,0.0
ABNB,2019-10-01,2019-10-31,0.0
ABNB,2019-11-01,2019-11-31,0.0
ABNB,2019-12-01,2019-12-31,0.0
ABNB,2020-01-01,2020-01-31,0.0
ABNB,2020-02-01,2020-02-31,0.0
ABNB,2020-03-01,2020-03-31,0.0
ABNB,2020-04-01,2020-04-31,0.0
ABNB,2020-05-01,2020-05-31,0.0
ABNB,2020-06-01,2020-06-31,0.0
ABNB,2020-07-01,2020-07-31,0.0
ABNB,2020-08-01,2020-08-31,0.0
ABNB,2020-09-01,2020-09-31,0.0
ABNB,2020-10-01,2020-10-31,0.0
ABNB,2020-11-01,2020-11-31,0.0
